,Score,Half Time Score,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,Full Time Result
0,1-0,1-0,40,60,5.0,3.0,12.0,4.0,5.0,13.0,69.0,11.0,16.0,13.0,3.0,0.0,2.0,5.0,5.0,12.0,2.0,4.0,22.0,84.0,17.0,14.0,9.0,3.0,0.0,0.0,1,0,0,1,0
1,1-1,1-0,47,53,4.0,3.0,12.0,5.0,3.0,20.0,76.0,13.0,16.0,23.0,4.0,0.0,0.0,5.0,1.0,11.0,5.0,3.0,27.0,79.0,14.0,16.0,8.0,2.0,0.0,1.0,1,1,1,1,1
2,2-1,0-1,53,47,6.0,3.0,10.0,1.0,5.0,25.0,79.0,20.0,21.0,13.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,30.0,76.0,10.0,14.0,26.0,3.0,0.0,0.0,2,1,1,2,0
3,1-1,0-0,56,44,7.0,6.0,19.0,6.0,11.0,26.0,81.0,19.0,25.0,8.0,3.0,0.0,0.0,6.0,2.0,12.0,4.0,7.0,19.0,70.0,11.0,20.0,9.0,3.0,1.0,0.0,1,1,1,1,1
4,1-0,1-0,41,59,5.0,5.0,12.0,2.0,5.0,28.0,60.0,29.0,17.0,13.0,4.0,0.0,0.0,7.0,4.0,19.0,8.0,6.0,36.0,75.0,25.0,20.0,14.0,1.0,0.0,0.0,1,0,0,1,0
5,3-0,1-0,72,28,5.0,6.0,12.0,1.0,3.0,23.0,93.0,2.0,2.0,11.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,19.0,81.0,4.0,17.0,13.0,1.0,0.0,0.0,3,0,0,3,0
6,3-1,1-0,59,41,4.0,9.0,20.0,7.0,4.0,21.0,82.0,27.0,15.0,19.0,4.0,0.0,0.0,8.0,3.0,12.0,1.0,4.0,19.0,74.0,22.0,7.0,15.0,1.0,0.0,0.0,3,1,1,3,0
7,0-2,0-0,53,47,4.0,2.0,9.0,3.0,3.0,16.0,80.0,19.0,12.0,11.0,1.0,0.0,0.0,5.0,6.0,12.0,1.0,4.0,14.0,78.0,21.0,18.0,14.0,3.0,0.0,0.0,0,2,2,0,2
8,2-0,1-0,63,37,3.0,8.0,14.0,3.0,8.0,25.0,88.0,23.0,13.0,9.0,1.0,0.0,0.0,6.0,2.0,8.0,0.0,5.0,18.0,79.0,15.0,27.0,13.0,2.0,0.0,0.0,2,0,0,2,0
9,0-0,0-0,59,41,5.0,2.0,8.0,1.0,2.0,23.0,79.0,21.0,20.0,13.0,2.0,0.0,0.0,3.0,2.0,9.0,4.0,4.0,34.0,68.0,26.0,15.0,17.0,2.0,0.0,0.0,0,0,0,0,1
10,1-0,1-0,51,49,5.0,3.0,12.0,4.0,2.0,33.0,78.0,19.0,24.0,17.0,3.0,0.0,0.0,4.0,4.0,11.0,3.0,3.0,42.0,76.0,10.0,21.0,11.0,2.0,0.0,0.0,1,0,0,1,0
11,3-0,2-0,60,40,7.0,4.0,14.0,3.0,4.0,19.0,86.0,18.0,19.0,18.0,1.0,0.0,0.0,7.0,4.0,17.0,6.0,5.0,25.0,74.0,15.0,24.0,11.0,2.0,0.0,1.0,3,0,0,3,0
12,3-0,1-0,58,42,4.0,5.0,10.0,1.0,2.0,23.0,78.0,31.0,34.0,13.0,1.0,0.0,0.0,5.0,2.0,10.0,3.0,11.0,28.0,67.0,12.0,7.0,17.0,4.0,0.0,0.0,3,0,0,3,0
13,1-1,0-0,41,59,3.0,1.0,6.0,2.0,1.0,17.0,73.0,19.0,13.0,14.0,1.0,0.0,0.0,3.0,4.0,10.0,3.0,6.0,31.0,81.0,13.0,12.0,17.0,4.0,0.0,0.0,1,1,1,1,1
14,2-1,2-1,43,57,7.0,6.0,14.0,1.0,5.0,22.0,73.0,27.0,25.0,12.0,3.0,0.0,0.0,3.0,2.0,8.0,3.0,5.0,32.0,79.0,19.0,16.0,18.0,0.0,0.0,0.0,2,1,1,2,0
15,1-2,0-1,46,54,2.0,2.0,4.0,0.0,3.0,23.0,71.0,23.0,19.0,20.0,4.0,0.0,0.0,4.0,6.0,13.0,3.0,7.0,23.0,77.0,23.0,22.0,24.0,2.0,0.0,0.0,1,2,2,1,2
16,0-1,0-0,28,72,7.0,0.0,9.0,2.0,3.0,12.0,69.0,7.0,28.0,12.0,0.0,0.0,0.0,8.0,8.0,20.0,4.0,10.0,22.0,89.0,11.0,6.0,9.0,2.0,0.0,0.0,0,1,1,0,2
17,2-2,1-1,49,51,4.0,5.0,10.0,1.0,2.0,28.0,72.0,12.0,18.0,16.0,4.0,0.0,0.0,7.0,2.0,12.0,3.0,4.0,25.0,74.0,20.0,16.0,18.0,6.0,0.0,0.0,2,2,2,2,1
18,4-2,2-2,45,55,3.0,5.0,13.0,5.0,8.0,22.0,78.0,13.0,22.0,18.0,1.0,0.0,0.0,9.0,5.0,19.0,5.0,6.0,27.0,83.0,17.0,16.0,12.0,2.0,0.0,0.0,4,2,2,4,0
19,1-1,0-0,59,41,9.0,3.0,15.0,3.0,8.0,26.0,80.0,16.0,9.0,12.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,4.0,19.0,76.0,19.0,20.0,17.0,4.0,0.0,0.0,1,1,1,1,1
20,1-1,1-1,52,48,6.0,2.0,12.0,4.0,8.0,25.0,75.0,21.0,16.0,14.0,4.0,0.0,0.0,5.0,4.0,11.0,2.0,2.0,28.0,76.0,24.0,39.0,22.0,4.0,0.0,0.0,1,1,1,1,1
21,2-0,0-0,61,39,5.0,8.0,14.0,1.0,5.0,20.0,84.0,12.0,11.0,12.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,22.0,74.0,15.0,19.0,11.0,1.0,0.0,0.0,2,0,0,2,0
22,0-0,0-0,59,41,9.0,7.0,18.0,2.0,20.0,22.0,76.0,29.0,23.0,10.0,1.0,0.0,0.0,5.0,0.0,10.0,5.0,1.0,24.0,62.0,29.0,39.0,15.0,2.0,0.0,0.0,0,0,0,0,1
23,1-2,1-1,63,37,13.0,4.0,21.0,4.0,4.0,32.0,83.0,26.0,10.0,12.0,4.0,0.0,0.0,4.0,2.0,9.0,3.0,4.0,15.0,66.0,23.0,24.0,12.0,7.0,0.0,0.0,1,2,2,1,2
24,2-2,1-0,53,47,5.0,6.0,13.0,2.0,5.0,20.0,78.0,22.0,25.0,13.0,1.0,0.0,0.0,8.0,5.0,19.0,6.0,8.0,23.0,77.0,26.0,28.0,15.0,5.0,0.0,0.0,2,2,2,2,1
25,2-3,1-1,70,30,9.0,4.0,14.0,1.0,6.0,29.0,80.0,22.0,9.0,11.0,2.0,0.0,0.0,4.0,5.0,11.0,2.0,4.0,20.0,57.0,23.0,29.0,23.0,2.0,0.0,0.0,2,3,3,2,2
26,3-1,1-0,55,45,0.0,6.0,11.0,5.0,7.0,19.0,85.0,10.0,31.0,15.0,1.0,0.0,0.0,1.0,3.0,8.0,4.0,8.0,36.0,76.0,10.0,15.0,13.0,1.0,0.0,0.0,3,1,1,3,0
27,2-0,1-0,58,42,3.0,4.0,12.0,5.0,8.0,16.0,78.0,22.0,16.0,10.0,2.0,0.0,0.0,3.0,1.0,7.0,3.0,5.0,20.0,70.0,17.0,26.0,25.0,6.0,0.0,0.0,2,0,0,2,0
28,0-0,0-0,40,60,5.0,3.0,9.0,1.0,9.0,30.0,72.0,16.0,20.0,12.0,3.0,0.0,0.0,6.0,3.0,14.0,5.0,5.0,34.0,81.0,17.0,17.0,13.0,2.0,0.0,0.0,0,0,0,0,1
29,0-1,0-1,58,42,7.0,2.0,14.0,5.0,4.0,29.0,76.0,21.0,21.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,8.0,25.0,66.0,25.0,35.0,23.0,6.0,0.0,0.0,0,1,1,0,2
30,0-2,0-2,63,37,8.0,6.0,15.0,1.0,10.0,33.0,80.0,14.0,15.0,9.0,2.0,0.0,0.0,2.0,4.0,8.0,2.0,7.0,25.0,66.0,21.0,37.0,10.0,1.0,0.0,0.0,0,2,2,0,2
31,2-8,0-3,40,60,5.0,5.0,14.0,4.0,2.0,10.0,88.0,2.0,10.0,8.0,1.0,0.0,0.0,2.0,13.0,19.0,4.0,3.0,18.0,92.0,6.0,11.0,9.0,1.0,0.0,0.0,2,8,8,2,2
32,0-1,0-1,66,34,4.0,5.0,13.0,4.0,7.0,29.0,83.0,20.0,19.0,15.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,26.0,63.0,19.0,28.0,20.0,4.0,0.0,0.0,0,1,1,0,2
33,2-2,2-1,49,51,8.0,8.0,18.0,2.0,6.0,23.0,76.0,33.0,15.0,9.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,25.0,78.0,16.0,36.0,17.0,3.0,0.0,0.0,2,2,2,2,1
34,2-2,1-0,36,64,2.0,8.0,13.0,3.0,7.0,27.0,64.0,12.0,15.0,14.0,3.0,0.0,0.0,6.0,3.0,9.0,0.0,2.0,22.0,78.0,19.0,14.0,16.0,5.0,0.0,0.0,2,2,2,2,1
35,1-2,0-1,57,43,10.0,6.0,22.0,6.0,13.0,22.0,80.0,12.0,21.0,19.0,1.0,0.0,0.0,6.0,5.0,13.0,2.0,7.0,8.0,72.0,25.0,31.0,17.0,7.0,1.0,0.0,1,2,2,1,2
36,4-2,1-2,44,56,7.0,9.0,19.0,3.0,11.0,18.0,75.0,20.0,27.0,11.0,2.0,0.0,0.0,4.0,3.0,10.0,3.0,5.0,28.0,80.0,16.0,17.0,18.0,2.0,0.0,0.0,4,2,2,4,0
37,1-3,0-1,61,39,5.0,3.0,9.0,1.0,6.0,20.0,82.0,18.0,13.0,11.0,6.0,0.0,0.0,4.0,8.0,15.0,3.0,4.0,17.0,70.0,17.0,12.0,24.0,2.0,0.0,0.0,1,3,3,1,2
38,0-5,0-2,25,75,3.0,2.0,9.0,4.0,3.0,17.0,70.0,6.0,28.0,13.0,1.0,0.0,1.0,7.0,8.0,17.0,2.0,6.0,15.0,92.0,10.0,11.0,11.0,2.0,0.0,0.0,0,5,5,0,2
39,0-3,0-2,57,43,4.0,5.0,12.0,3.0,6.0,13.0,85.0,7.0,10.0,25.0,6.0,0.0,0.0,1.0,3.0,7.0,3.0,1.0,20.0,79.0,16.0,15.0,17.0,2.0,1.0,0.0,0,3,3,0,2
40,5-1,3-1,64,36,8.0,12.0,23.0,3.0,8.0,18.0,91.0,7.0,5.0,15.0,2.0,0.0,0.0,5.0,3.0,10.0,2.0,2.0,10.0,80.0,10.0,19.0,15.0,1.0,0.0,0.0,5,1,1,5,0
41,2-1,1-0,53,47,5.0,4.0,11.0,2.0,13.0,21.0,71.0,20.0,15.0,15.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,39.0,71.0,15.0,26.0,15.0,3.0,0.0,0.0,2,1,1,2,0
42,0-1,0-0,39,61,4.0,1.0,6.0,1.0,2.0,17.0,68.0,20.0,17.0,14.0,3.0,0.0,0.0,8.0,9.0,19.0,2.0,10.0,21.0,81.0,28.0,14.0,16.0,6.0,0.0,0.0,0,1,1,0,2
43,1-1,1-0,35,65,2.0,3.0,7.0,2.0,2.0,24.0,60.0,19.0,37.0,14.0,4.0,0.0,0.0,8.0,4.0,15.0,3.0,10.0,34.0,81.0,10.0,24.0,17.0,4.0,0.0,0.0,1,1,1,1,1
44,2-1,1-1,50,50,8.0,5.0,15.0,2.0,1.0,41.0,70.0,22.0,15.0,18.0,2.0,0.0,0.0,4.0,3.0,8.0,1.0,2.0,38.0,65.0,27.0,15.0,17.0,2.0,0.0,0.0,2,1,1,2,0
45,0-0,0-0,31,69,4.0,2.0,6.0,0.0,2.0,24.0,61.0,16.0,14.0,15.0,2.0,0.0,0.0,5.0,0.0,10.0,5.0,8.0,25.0,88.0,13.0,15.0,13.0,2.0,0.0,0.0,0,0,0,0,1
46,1-0,1-0,51,49,4.0,8.0,19.0,7.0,11.0,23.0,77.0,28.0,33.0,12.0,6.0,0.0,0.0,5.0,1.0,8.0,2.0,4.0,23.0,77.0,21.0,33.0,8.0,2.0,0.0,0.0,1,0,0,1,0
47,0-1,0-0,56,44,5.0,0.0,7.0,2.0,5.0,39.0,72.0,28.0,18.0,14.0,2.0,0.0,0.0,5.0,4.0,10.0,1.0,4.0,24.0,63.0,22.0,19.0,14.0,6.0,0.0,0.0,0,1,1,0,2
48,2-0,0-0,40,60,3.0,3.0,8.0,2.0,6.0,29.0,65.0,27.0,25.0,17.0,1.0,0.0,0.0,2.0,2.0,7.0,3.0,4.0,27.0,80.0,17.0,23.0,17.0,2.0,0.0,0.0,2,0,0,2,0
49,3-0,2-0,60,40,8.0,8.0,19.0,3.0,3.0,24.0,85.0,22.0,28.0,11.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,29.0,70.0,15.0,20.0,22.0,3.0,0.0,0.0,3,0,0,3,0
50,0-1,0-0,43,57,8.0,3.0,14.0,3.0,0.0,21.0,69.0,22.0,17.0,12.0,4.0,0.0,0.0,10.0,4.0,16.0,2.0,4.0,22.0,75.0,36.0,17.0,14.0,2.0,0.0,0.0,0,1,1,0,2
51,0-2,0-2,50,50,8.0,5.0,19.0,6.0,7.0,20.0,82.0,11.0,16.0,7.0,0.0,0.0,0.0,4.0,3.0,11.0,4.0,6.0,15.0,86.0,13.0,28.0,10.0,1.0,0.0,0.0,0,2,2,0,2
52,6-0,3-0,69,31,5.0,12.0,19.0,2.0,8.0,20.0,89.0,6.0,9.0,11.0,1.0,0.0,0.0,6.0,1.0,9.0,2.0,1.0,23.0,79.0,7.0,26.0,11.0,3.0,0.0,0.0,6,0,0,6,0
53,4-0,2-0,47,53,4.0,6.0,11.0,1.0,5.0,24.0,72.0,22.0,23.0,14.0,4.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,25.0,75.0,20.0,24.0,16.0,3.0,0.0,0.0,4,0,0,4,0
54,0-2,0-0,43,57,6.0,0.0,7.0,1.0,5.0,24.0,67.0,21.0,20.0,21.0,4.0,0.0,0.0,6.0,5.0,13.0,2.0,7.0,20.0,78.0,15.0,28.0,16.0,3.0,0.0,0.0,0,2,2,0,2
55,0-0,0-0,70,30,8.0,1.0,13.0,4.0,6.0,31.0,82.0,26.0,16.0,13.0,5.0,0.0,0.0,7.0,2.0,10.0,1.0,2.0,21.0,55.0,19.0,27.0,22.0,6.0,0.0,0.0,0,0,0,0,1
56,1-0,1-0,43,57,3.0,3.0,9.0,3.0,3.0,22.0,67.0,11.0,25.0,8.0,0.0,0.0,0.0,6.0,0.0,10.0,4.0,4.0,38.0,74.0,16.0,24.0,16.0,4.0,1.0,0.0,1,0,0,1,0
